0.14340	0.28262	0.36213	0.86624	0.04072	0.12356	0.04412	0.15954	0.06059	0.01896	0.79934	0.03090	0.39890	0.13961	0.13915	0.06973		0.03272	0.08458	0.08824	0.26774	0.55778	0.32910	0.05195	0.88921	0.09799	0.00964	0.23514	0.11345	0.18287	0.61786	0.09427	0.05791	0.16806	0.23624	0.29573	0.09983	0.10134	0.11955	0.09340	0.03704	0.04888	0.06362	0.01178	0.13432	0.15597	0.04114	0.09592	0.06848	0.14677	0.09167	0.54164
0.42699	0.13079	0.07910	0.13568	0.12672	0.20825	0.16951	0.03779	0.45092	0.28204	0.18620	0.11067	0.02418	0.43154	0.10190	0.03453	0.11989		0.16053	0.44529	0.08105	0.11115	0.04634	0.41749	0.00458	0.02244	0.33530	0.12626	0.38004	0.00287	0.14219	0.06221	0.04159	0.13122	0.15020	0.06028	0.47952	0.13947	0.21476	0.12342	0.58410	0.26217	0.19243	0.14111	0.40629	0.13720	0.17135	0.35330	0.16040	0.06196	0.03834	0.06442
0.44657	0.37210	0.25782	0.06533	0.31276	0.17816	0.13996	0.02234	0.04645	0.22217	0.02246	0.25200	0.35119	0.43456	0.39289	0.10501	0.12785	0.20153		0.60622	0.13315	0.15406	0.12786	0.20038	0.11011	0.20448	0.30310	0.37019	0.07012	0.13874	0.01072	0.26461	0.26973	0.22703	0.16961	0.22696	0.36418	0.33961	0.05322	0.25076	0.22337	0.23806	0.49008	0.34256	0.48049	0.14733	0.21471	0.15899	0.32010	0.19134	0.13306	0.17606
0.77361	0.32598	0.16737	0.14794	0.16494	0.36460	0.24155	0.15658	0.33779	0.33208	0.14428	0.22134	0.19475	0.73578	0.29186	0.02735	0.15192	0.63849	0.72571		0.07533	0.00503	0.12890	0.28889	0.14829	0.15670	0.05644	0.25284	0.38707	0.15511	0.01532	0.31653	0.16491	0.35007	0.36454	0.13387	0.66847	0.33012	0.24967	0.15306	0.51139	0.20060	0.38680	0.19527	0.85050	0.22259	0.03692	0.37872	0.26270	0.21412	0.16335	0.08225
0.12815	0.16442	0.23097	0.06110	0.11662	0.61480	0.15234	0.26290	0.14592	0.15156	0.00757	0.38171	0.20077	0.15081	0.19658	0.17935	0.00715	0.08238	0.12518	0.16088		0.12302	0.24031	0.13086	0.06356	0.16934	0.19286	0.18783	0.06806	0.37640	0.16063	0.47005	0.27394	0.41306	0.51227	0.22013	0.15612	0.42823	0.36510	0.25213	0.04967	0.13745	0.09358	0.07008	0.19113	0.55693	0.02651	0.42875	0.00205	0.28569	0.46726	0.11295
0.03739	0.43935	0.71477	0.54287	0.05847	0.32902	0.01262	0.18579	0.15723	0.02678	0.65719	0.17660	0.77002	0.03060	0.36902	0.06257	0.60665	0.02047	0.12528	0.12740	0.21823		0.75969	0.06320	0.49483	0.59820	0.14620	0.50511	0.04906	0.33796	0.59443	0.27191	0.41100	0.27838	0.21367	0.78556	0.00260	0.15645	0.22847	0.41013	0.02319	0.23047	0.29018	0.10850	0.01460	0.32531	0.03618	0.15202	0.18404	0.17351	0.19890	0.67638
0.15721	0.37909	0.75604	0.22718	0.05710	0.39832	0.14549	0.25167	0.24546	0.01691	0.38484	0.18672	0.75534	0.17807	0.47222	0.03289	0.43238	0.08686	0.09743	0.18405	0.12203	0.76924		0.16506	0.34960	0.80066	0.04365	0.56989	0.11809	0.32827	0.51677	0.32856	0.65980	0.27545	0.17667	0.80689	0.07523	0.14057	0.33683	0.38856	0.08921	0.15647	0.37407	0.06582	0.08912	0.30834	0.02832	0.29264	0.11325	0.09220	0.13276	0.59939
0.22037	0.00833	0.02079	0.13224	0.61961	0.30612	0.73279	0.07619	0.27124	0.01448	0.17441	0.22978	0.07850	0.30415	0.04289	0.22586	0.06204	0.26684	0.14271	0.08793	0.07820	0.13935	0.02207		0.07769	0.04229	0.75277	0.04627	0.56350	0.00005	0.04863	0.09872	0.07638	0.02781	0.13692	0.03374	0.24975	0.11940	0.18535	0.14741	0.23466	0.26195	0.02664	0.61469	0.19806	0.05131	0.61385	0.13397	0.45197	0.13469	0.09774	0.04516
0.08214	0.29176	0.38010	0.78030	0.05425	0.13710	0.05342	0.15186	0.02052	0.04137	0.73777	0.03881	0.37855	0.14026	0.11958	0.01582	0.80851	0.04525	0.11204	0.11244	0.25740	0.57206	0.40398	0.04956		0.12220	0.06916	0.22053	0.07359	0.20275	0.71507	0.04302	0.03966	0.15883	0.21805	0.22432	0.07525	0.09744	0.09046	0.06705	0.00300	0.04122	0.09760	0.01690	0.12470	0.14658	0.06836	0.05525	0.02067	0.18472	0.12426	0.54370
0.13698	0.18996	0.55701	0.06402	0.11299	0.36129	0.08670	0.19836	0.18307	0.05074	0.20745	0.18965	0.69778	0.12796	0.32855	0.04411	0.31276	0.08077	0.13135	0.15070	0.00076	0.50631	0.67905	0.03588	0.13914		0.09832	0.40438	0.02330	0.25919	0.20099	0.32494	0.69035	0.37319	0.11764	0.83460	0.07937	0.11373	0.31236	0.36597	0.08706	0.23859	0.43357	0.08146	0.09614	0.19018	0.01427	0.21083	0.10082	0.04259	0.07193	0.36847
